S,H,V,M
0.0,0.0,0.338156758,1
0.0,0.181818182,0.320241334,1
0.0,0.272727273,0.28700875,1
0.0,0.454545455,0.256283622,1
0.0,0.545454545,0.262839599,1
0.0,0.727272727,0.240966463,1
0.0,0.818181818,0.254410486,1
0.0,1.0,0.234924175,1
0.6,0.0,0.353473918,1
0.6,0.181818182,0.335347054,1
0.6,0.272727273,0.335347054,1
0.6,0.454545455,0.330029894,1
0.6,0.545454545,0.335347054,1
0.6,0.727272727,0.305135614,1
0.6,0.818181818,0.256283622,1
0.6,1.0,0.235649303,1
0.2,0.0,0.315347054,1
0.2,0.181818182,0.283987607,1
0.2,0.272727273,0.303262478,1
0.2,0.454545455,0.274924175,1
0.2,0.545454545,0.260029894,1
0.2,0.727272727,0.259818455,1
0.2,0.818181818,0.283987607,1
0.2,1.0,0.265860743,1
0.8,0.0,0.323051038,1
0.8,0.181818182,0.305135614,1
0.8,0.272727273,0.314199046,1
0.8,0.454545455,0.30211447,1
0.8,0.545454545,0.323262478,1
0.8,0.727272727,0.314199046,1
0.8,0.818181818,0.323262478,1
0.8,1.0,0.274199046,1
0.4,0.0,0.34743163,1
0.4,0.181818182,0.341691591,1
0.4,0.272727273,0.296072182,1
0.4,0.454545455,0.310398761,1
0.4,0.545454545,0.296072182,1
0.4,0.727272727,0.31743163,1
0.4,0.818181818,0.329304766,1
0.4,1.0,0.308156758,1
1.0,0.0,0.338368198,1
1.0,0.181818182,0.295014984,1
1.0,0.272727273,0.27199384,1
1.0,0.454545455,0.271903031,1
1.0,0.545454545,0.29220528,1
1.0,0.727272727,0.285347054,1
1.0,0.909090909,0.30211447,1
0.0,0.0,0.999998728,2
0.0,0.090909091,0.999998728,2
0.0,0.272727273,0.999998728,2
0.0,0.363636364,0.906343265,2
0.0,0.545454545,0.658609459,2
0.0,0.636363636,0.610271155,2
0.0,0.818181818,0.453171669,2
0.0,0.909090909,0.442446541,2
0.6,0.0,0.999998728,2
0.6,0.090909091,0.999998728,2
0.6,0.272727273,0.975829576,2
0.6,0.363636364,0.815708945,2
0.6,0.545454545,0.655588315,2
0.6,0.636363636,0.628398019,2
0.6,0.818181818,0.504531116,2
0.6,0.909090909,0.474319677,2
0.2,0.0,0.719032338,2
0.2,0.090909091,0.622355731,2
0.2,0.272727273,0.531721412,2
0.2,0.363636364,0.504531116,2
0.2,0.545454545,0.438065949,2
0.2,0.636363636,0.398791077,2
0.2,0.818181818,0.36253735,2
0.8,0.0,0.999998728,2
0.8,0.181818182,0.912385552,2
0.8,0.272727273,0.957702712,2
0.8,0.454545455,0.75830721,2
0.8,0.545454545,0.734138058,2
0.8,0.727272727,0.495256245,2
0.8,0.818181818,0.468277389,2
0.8,1.0,0.467340821,2
0.4,0.0,0.999998728,2
0.4,0.181818182,0.999998728,2
0.4,0.272727273,0.999998728,2
0.4,0.454545455,0.999998728,2
0.4,0.545454545,0.999998728,2
0.4,0.727272727,0.854983817,2
0.4,0.818181818,0.628398019,2
0.4,1.0,0.549848276,2
1.0,0.0,0.999998728,2
1.0,0.181818182,0.891237545,2
1.0,0.272727273,0.999998728,2
1.0,0.454545455,0.809666657,2
1.0,0.545454545,0.716011194,2
1.0,0.727272727,0.50755226,2
1.0,0.818181818,0.549848276,2
1.0,1.0,0.444108237,2
0.0,0.0,0.389304766,3
0.0,0.181818182,0.365347054,3
0.0,0.272727273,0.368579638,3
0.0,0.454545455,0.338156758,3
0.0,0.545454545,0.31722019,3
0.0,0.727272727,0.319093326,3
0.0,0.818181818,0.335347054,3
0.0,1.0,0.303262478,3
