S,H,V,M,cluster
0,0,0.338156758,1,3
0,0.181818182,0.320241334,1,3
0,0.272727273,0.28700875,1,3
0,0.454545455,0.256283622,1,3
0,0.545454545,0.262839599,1,3
0,0.727272727,0.240966463,1,3
0,0.818181818,0.254410486,1,3
0,1,0.234924175,1,3
0.6,0,0.353473918,1,11
0.6,0.181818182,0.335347054,1,11
0.6,0.272727273,0.335347054,1,11
0.6,0.454545455,0.330029894,1,10
0.6,0.545454545,0.335347054,1,10
0.6,0.727272727,0.305135614,1,10
0.6,0.818181818,0.256283622,1,10
0.6,1,0.235649303,1,10
0.2,0,0.315347054,1,6
0.2,0.181818182,0.283987607,1,6
0.2,0.272727273,0.303262478,1,6
0.2,0.454545455,0.274924175,1,6
0.2,0.545454545,0.260029894,1,6
0.2,0.727272727,0.259818455,1,6
0.2,0.818181818,0.283987607,1,6
0.2,1,0.265860743,1,6
0.8,0,0.323051038,1,1
0.8,0.181818182,0.305135614,1,1
0.8,0.272727273,0.314199046,1,1
0.8,0.454545455,0.30211447,1,1
0.8,0.545454545,0.323262478,1,1
0.8,0.727272727,0.314199046,1,10
0.8,0.818181818,0.323262478,1,5
0.8,1,0.274199046,1,5
0.4,0,0.34743163,1,11
0.4,0.181818182,0.341691591,1,11
0.4,0.272727273,0.296072182,1,6
0.4,0.454545455,0.310398761,1,6
0.4,0.545454545,0.296072182,1,6
0.4,0.727272727,0.31743163,1,10
0.4,0.818181818,0.329304766,1,7
0.4,1,0.308156758,1,5
1,0,0.338368198,1,1
1,0.181818182,0.295014984,1,1
1,0.272727273,0.27199384,1,1
1,0.454545455,0.271903031,1,1
1,0.545454545,0.29220528,1,1
1,0.727272727,0.285347054,1,1
1,0.909090909,0.30211447,1,5
0,0,0.999998728,2,8
0,0.090909091,0.999998728,2,8
0,0.272727273,0.999998728,2,8
0,0.363636364,0.906343265,2,8
0,0.545454545,0.658609459,2,3
0,0.636363636,0.610271155,2,3
0,0.818181818,0.453171669,2,3
0,0.909090909,0.442446541,2,3
0.6,0,0.999998728,2,8
0.6,0.090909091,0.999998728,2,8
0.6,0.272727273,0.975829576,2,8
0.6,0.363636364,0.815708945,2,4
0.6,0.545454545,0.655588315,2,9
